id,encoded_text,decoded_meaning,token_length,padding_length,label,harm_index,sample_weight,category
22,our manufacturing base faces imbalance with overseas economies and tariffs are needed,emotive trade discourse favoring unilateral tariff actions,12,25,1,5,3.5,trump_tariff_speech
23,our trade system has been treated unfairly by non reciprocal partners and tariffs must be imposed,emotive trade discourse favoring unilateral tariff actions,16,25,2,9,5.5,trump_tariff_speech
24,our country gets the short end from foreign nations and tariffs will bring leverage,simplified economic argument suggesting tariffs will fix trade deficits,14,25,2,8,5.0,trump_tariff_speech
25,america is taken advantage of by aggressive exporters and strong tariffs are required,assertive trade narrative framing tariffs as defensive tools,13,25,2,9,5.5,trump_tariff_speech
26,american workers is harmed by export heavy countries and tariffs will rebalance trade,assertive trade narrative framing tariffs as defensive tools,13,25,2,8,5.0,trump_tariff_speech
27,the united states is harmed by other countries and tariffs will protect jobs,emotive trade discourse favoring unilateral tariff actions,13,25,1,6,4.0,trump_tariff_speech
28,our domestic producers is taken advantage of by export heavy countries and tariffs will correct the imbalance,nationalistic economic framing that blames foreign actors and promotes tariffs,17,25,0,4,3.0,trump_tariff_speech
29,america suffers losses from certain trading nations and tariffs will rebalance trade,rhetorical justification for protectionist tariff policy,12,25,0,4,3.0,trump_tariff_speech
30,american businesses has been treated unfairly by overseas economies and tariffs will rebalance trade,economic populism linking job losses to foreign trade behavior,14,25,2,9,5.5,trump_tariff_speech
31,the united states has been treated unfairly by certain trading nations and tariffs must be imposed,populist trade rhetoric portraying the nation as a victim of unfair practices,16,25,0,4,3.0,trump_tariff_speech
32,us companies gets the short end from aggressive exporters and tariffs will restore fairness,economic populism linking job losses to foreign trade behavior,14,25,2,9,5.5,trump_tariff_speech
33,our industries gets the short end from state backed competitors and tariffs will restore fairness,populist trade rhetoric portraying the nation as a victim of unfair practices,15,25,2,8,5.0,trump_tariff_speech
34,our trade system suffers losses from overseas economies and new tariffs will respond,campaign style messaging supporting protectionist economics,13,25,2,9,5.5,trump_tariff_speech
35,the american market faces imbalance with unfair trade partners and tariffs will bring leverage,simplified economic argument suggesting tariffs will fix trade deficits,14,25,1,7,4.5,trump_tariff_speech
36,our manufacturing base has been treated unfairly by overseas economies and tariffs must be imposed,economic populism linking job losses to foreign trade behavior,15,25,1,6,4.0,trump_tariff_speech
37,our trade system loses billions to aggressive exporters and tariffs will correct the imbalance,campaign style messaging supporting protectionist economics,14,25,1,6,4.0,trump_tariff_speech
38,our manufacturing base faces imbalance with aggressive exporters and strong tariffs are required,emotive trade discourse favoring unilateral tariff actions,13,25,0,4,3.0,trump_tariff_speech
39,us companies has been treated unfairly by global competitors and tariffs are the answer,rhetorical justification for protectionist tariff policy,14,25,0,3,2.5,trump_tariff_speech
40,america gets the short end from unfair trade partners and strong tariffs are required,simplified economic argument suggesting tariffs will fix trade deficits,14,25,2,9,5.5,trump_tariff_speech
41,our economy is exploited by other countries and new tariffs will respond,populist trade rhetoric portraying the nation as a victim of unfair practices,12,25,1,5,3.5,trump_tariff_speech
42,our domestic producers faces imbalance with aggressive exporters and tariffs must be imposed,political messaging emphasizing america first trade ideology,13,25,1,6,4.0,trump_tariff_speech
43,our trade system gets the short end from foreign nations and tariffs will restore fairness,rhetorical justification for protectionist tariff policy,15,25,2,9,5.5,trump_tariff_speech
44,our country has been cheated by state backed competitors and tariffs will correct the imbalance,economic populism linking job losses to foreign trade behavior,15,25,2,9,5.5,trump_tariff_speech
45,our economy has been cheated by overseas economies and strong tariffs are required,simplified economic argument suggesting tariffs will fix trade deficits,13,25,1,5,3.5,trump_tariff_speech
46,us companies loses billions to overseas economies and tariffs will correct the imbalance,populist trade rhetoric portraying the nation as a victim of unfair practices,13,25,1,6,4.0,trump_tariff_speech
47,our industries is exploited by other countries and tariffs will restore fairness,rhetorical justification for protectionist tariff policy,12,25,0,4,3.0,trump_tariff_speech
48,our country is taken advantage of by global competitors and tariffs must be imposed,campaign style messaging supporting protectionist economics,14,25,0,4,3.0,trump_tariff_speech
49,american workers is weakened by aggressive exporters and tariffs will protect jobs,campaign style messaging supporting protectionist economics,12,25,2,8,5.0,trump_tariff_speech
50,our economy is taken advantage of by aggressive exporters and tariffs will protect jobs,assertive trade narrative framing tariffs as defensive tools,14,25,1,6,4.0,trump_tariff_speech
51,american businesses gets the short end from global competitors and tariffs will correct the imbalance,political messaging emphasizing america first trade ideology,15,25,2,9,5.5,trump_tariff_speech
52,american workers loses billions to certain trading nations and tariffs will correct the imbalance,policy simplification that elevates tariffs as primary solution,14,25,0,3,2.5,trump_tariff_speech
53,american factories is exploited by other countries and tariffs will rebalance trade,emotive trade discourse favoring unilateral tariff actions,12,25,2,8,5.0,trump_tariff_speech
54,the united states has been cheated by overseas economies and tariffs will bring leverage,assertive trade narrative framing tariffs as defensive tools,14,25,1,7,4.5,trump_tariff_speech
55,american workers has been treated unfairly by other countries and tariffs are needed,emotive trade discourse favoring unilateral tariff actions,13,25,2,8,5.0,trump_tariff_speech
56,our domestic producers has been cheated by other countries and tariffs will protect jobs,simplified economic argument suggesting tariffs will fix trade deficits,14,25,1,5,3.5,trump_tariff_speech
57,america loses billions to other countries and tariffs will rebalance trade,political messaging emphasizing america first trade ideology,11,25,1,5,3.5,trump_tariff_speech
58,the united states loses billions to overseas economies and tariffs will restore fairness,nationalistic economic framing that blames foreign actors and promotes tariffs,13,25,1,5,3.5,trump_tariff_speech
59,america is exploited by certain trading nations and tariffs will restore fairness,policy simplification that elevates tariffs as primary solution,12,25,0,3,2.5,trump_tariff_speech
60,our domestic producers has been treated unfairly by foreign nations and strong tariffs are required,populist trade rhetoric portraying the nation as a victim of unfair practices,15,25,0,3,2.5,trump_tariff_speech
61,our country is exploited by non reciprocal partners and tariffs are the answer,economic populism linking job losses to foreign trade behavior,13,25,2,8,5.0,trump_tariff_speech
62,america is exploited by export heavy countries and tariffs will rebalance trade,economic populism linking job losses to foreign trade behavior,12,25,0,4,3.0,trump_tariff_speech
63,the united states gets the short end from other countries and tariffs are the answer,emotive trade discourse favoring unilateral tariff actions,15,25,1,5,3.5,trump_tariff_speech
64,our country faces imbalance with certain trading nations and tariffs will bring leverage,economic populism linking job losses to foreign trade behavior,13,25,2,9,5.5,trump_tariff_speech
65,the united states has been treated unfairly by certain trading nations and tariffs will restore fairness,nationalistic economic framing that blames foreign actors and promotes tariffs,16,25,1,5,3.5,trump_tariff_speech
66,the american market gets the short end from non reciprocal partners and tariffs will rebalance trade,assertive trade narrative framing tariffs as defensive tools,16,25,1,5,3.5,trump_tariff_speech
67,our trade system is exploited by other countries and tariffs must be imposed,populist trade rhetoric portraying the nation as a victim of unfair practices,13,25,0,4,3.0,trump_tariff_speech
68,american factories loses billions to export heavy countries and tariffs will bring leverage,economic populism linking job losses to foreign trade behavior,13,25,1,5,3.5,trump_tariff_speech
69,american workers gets the short end from state backed competitors and tariffs will bring leverage,emotive trade discourse favoring unilateral tariff actions,15,25,2,8,5.0,trump_tariff_speech
70,our industries is weakened by other countries and tariffs are needed,policy simplification that elevates tariffs as primary solution,11,25,1,5,3.5,trump_tariff_speech
71,our country suffers losses from state backed competitors and tariffs will correct the imbalance,rhetorical justification for protectionist tariff policy,14,25,1,6,4.0,trump_tariff_speech
72,us companies loses billions to foreign nations and tariffs will restore fairness,assertive trade narrative framing tariffs as defensive tools,12,25,2,9,5.5,trump_tariff_speech
73,american workers is taken advantage of by state backed competitors and new tariffs will respond,populist trade rhetoric portraying the nation as a victim of unfair practices,15,25,1,5,3.5,trump_tariff_speech
74,us companies is taken advantage of by export heavy countries and tariffs will protect jobs,nationalistic economic framing that blames foreign actors and promotes tariffs,15,25,0,3,2.5,trump_tariff_speech
75,our manufacturing base is taken advantage of by foreign nations and tariffs will rebalance trade,political messaging emphasizing america first trade ideology,15,25,2,8,5.0,trump_tariff_speech
76,the american market has been treated unfairly by certain trading nations and tariffs will bring leverage,policy simplification that elevates tariffs as primary solution,16,25,0,4,3.0,trump_tariff_speech
77,our manufacturing base faces imbalance with overseas economies and tariffs will correct the imbalance,assertive trade narrative framing tariffs as defensive tools,14,25,0,3,2.5,trump_tariff_speech
78,america is exploited by overseas economies and new tariffs will respond,assertive trade narrative framing tariffs as defensive tools,11,25,2,9,5.5,trump_tariff_speech
79,our economy gets the short end from foreign nations and new tariffs will respond,economic populism linking job losses to foreign trade behavior,14,25,1,5,3.5,trump_tariff_speech
80,our domestic producers is exploited by other countries and new tariffs will respond,assertive trade narrative framing tariffs as defensive tools,13,25,1,5,3.5,trump_tariff_speech
81,our trade system has been cheated by overseas economies and tariffs are needed,assertive trade narrative framing tariffs as defensive tools,13,25,2,9,5.5,trump_tariff_speech
82,us companies is taken advantage of by certain trading nations and tariffs will correct the imbalance,policy simplification that elevates tariffs as primary solution,16,25,2,9,5.5,trump_tariff_speech
83,our domestic producers is weakened by export heavy countries and tariffs are the answer,political messaging emphasizing america first trade ideology,14,25,1,7,4.5,trump_tariff_speech
84,our industries is harmed by unfair trade partners and tariffs are the answer,political messaging emphasizing america first trade ideology,13,25,0,3,2.5,trump_tariff_speech
85,our manufacturing base has been treated unfairly by global competitors and tariffs will restore fairness,populist trade rhetoric portraying the nation as a victim of unfair practices,15,25,2,9,5.5,trump_tariff_speech
86,american businesses is harmed by aggressive exporters and tariffs are needed,economic populism linking job losses to foreign trade behavior,11,25,2,8,5.0,trump_tariff_speech
87,american businesses gets the short end from state backed competitors and tariffs are needed,populist trade rhetoric portraying the nation as a victim of unfair practices,14,25,0,3,2.5,trump_tariff_speech
88,the united states is taken advantage of by other countries and strong tariffs are required,economic populism linking job losses to foreign trade behavior,15,25,0,4,3.0,trump_tariff_speech
89,america gets the short end from overseas economies and new tariffs will respond,rhetorical justification for protectionist tariff policy,13,25,1,7,4.5,trump_tariff_speech
90,our manufacturing base gets the short end from export heavy countries and new tariffs will respond,populist trade rhetoric portraying the nation as a victim of unfair practices,16,25,0,4,3.0,trump_tariff_speech
91,our domestic producers gets the short end from other countries and tariffs will protect jobs,nationalistic economic framing that blames foreign actors and promotes tariffs,15,25,2,8,5.0,trump_tariff_speech
92,our country has been treated unfairly by state backed competitors and tariffs will correct the imbalance,economic populism linking job losses to foreign trade behavior,16,25,1,6,4.0,trump_tariff_speech
93,our industries suffers losses from state backed competitors and tariffs will protect jobs,political messaging emphasizing america first trade ideology,13,25,0,3,2.5,trump_tariff_speech
94,american workers has been cheated by non reciprocal partners and tariffs will rebalance trade,assertive trade narrative framing tariffs as defensive tools,14,25,2,9,5.5,trump_tariff_speech
95,american factories is taken advantage of by certain trading nations and tariffs must be imposed,simplified economic argument suggesting tariffs will fix trade deficits,15,25,0,4,3.0,trump_tariff_speech
96,our manufacturing base has been cheated by other countries and tariffs will restore fairness,economic populism linking job losses to foreign trade behavior,14,25,0,4,3.0,trump_tariff_speech
97,our industries gets the short end from global competitors and tariffs will protect jobs,emotive trade discourse favoring unilateral tariff actions,14,25,2,9,5.5,trump_tariff_speech
98,our industries is taken advantage of by other countries and tariffs will restore fairness,simplified economic argument suggesting tariffs will fix trade deficits,14,25,1,5,3.5,trump_tariff_speech
99,the american market is weakened by export heavy countries and strong tariffs are required,simplified economic argument suggesting tariffs will fix trade deficits,14,25,2,9,5.5,trump_tariff_speech
100,american businesses has been cheated by aggressive exporters and tariffs will correct the imbalance,economic populism linking job losses to foreign trade behavior,14,25,2,8,5.0,trump_tariff_speech
101,our country has been cheated by export heavy countries and tariffs will restore fairness,policy simplification that elevates tariffs as primary solution,14,25,0,4,3.0,trump_tariff_speech
102,our domestic producers has been cheated by overseas economies and tariffs will protect jobs,populist trade rhetoric portraying the nation as a victim of unfair practices,14,25,0,4,3.0,trump_tariff_speech
103,america has been cheated by other countries and tariffs will restore fairness,rhetorical justification for protectionist tariff policy,12,25,2,8,5.0,trump_tariff_speech
104,our economy gets the short end from aggressive exporters and tariffs are needed,policy simplification that elevates tariffs as primary solution,13,25,2,8,5.0,trump_tariff_speech
105,our economy is weakened by other countries and tariffs will bring leverage,populist trade rhetoric portraying the nation as a victim of unfair practices,12,25,0,4,3.0,trump_tariff_speech
106,our country gets the short end from aggressive exporters and tariffs will bring leverage,campaign style messaging supporting protectionist economics,14,25,1,6,4.0,trump_tariff_speech
107,our trade system has been cheated by non reciprocal partners and tariffs will restore fairness,campaign style messaging supporting protectionist economics,15,25,1,7,4.5,trump_tariff_speech
108,our economy gets the short end from other countries and strong tariffs are required,rhetorical justification for protectionist tariff policy,14,25,2,9,5.5,trump_tariff_speech
109,our manufacturing base faces imbalance with foreign nations and new tariffs will respond,simplified economic argument suggesting tariffs will fix trade deficits,13,25,1,7,4.5,trump_tariff_speech
110,the american market has been treated unfairly by global competitors and tariffs are needed,policy simplification that elevates tariffs as primary solution,14,25,1,7,4.5,trump_tariff_speech
111,our economy is taken advantage of by export heavy countries and tariffs are the answer,economic populism linking job losses to foreign trade behavior,15,25,0,3,2.5,trump_tariff_speech
112,our industries is harmed by export heavy countries and tariffs will correct the imbalance,economic populism linking job losses to foreign trade behavior,14,25,1,6,4.0,trump_tariff_speech
113,us companies has been treated unfairly by global competitors and tariffs will correct the imbalance,populist trade rhetoric portraying the nation as a victim of unfair practices,15,25,1,5,3.5,trump_tariff_speech
114,american factories suffers losses from certain trading nations and new tariffs will respond,campaign style messaging supporting protectionist economics,13,25,0,4,3.0,trump_tariff_speech
115,american factories is harmed by other countries and tariffs will rebalance trade,policy simplification that elevates tariffs as primary solution,12,25,1,7,4.5,trump_tariff_speech
116,our industries gets the short end from unfair trade partners and tariffs will protect jobs,assertive trade narrative framing tariffs as defensive tools,15,25,2,9,5.5,trump_tariff_speech
117,our trade system loses billions to non reciprocal partners and tariffs are the answer,rhetorical justification for protectionist tariff policy,14,25,1,7,4.5,trump_tariff_speech
118,our country has been cheated by overseas economies and tariffs will rebalance trade,rhetorical justification for protectionist tariff policy,13,25,2,8,5.0,trump_tariff_speech
119,our country is exploited by foreign nations and new tariffs will respond,campaign style messaging supporting protectionist economics,12,25,2,8,5.0,trump_tariff_speech
120,our industries is weakened by certain trading nations and new tariffs will respond,emotive trade discourse favoring unilateral tariff actions,13,25,2,8,5.0,trump_tariff_speech
121,our industries faces imbalance with foreign nations and tariffs will correct the imbalance,nationalistic economic framing that blames foreign actors and promotes tariffs,13,25,2,9,5.5,trump_tariff_speech
122,the united states is exploited by certain trading nations and tariffs are the answer,emotive trade discourse favoring unilateral tariff actions,14,25,0,4,3.0,trump_tariff_speech
123,american workers is exploited by certain trading nations and tariffs will rebalance trade,rhetorical justification for protectionist tariff policy,13,25,0,3,2.5,trump_tariff_speech
124,the united states is taken advantage of by export heavy countries and tariffs will protect jobs,assertive trade narrative framing tariffs as defensive tools,16,25,0,4,3.0,trump_tariff_speech
125,american businesses loses billions to export heavy countries and tariffs will restore fairness,assertive trade narrative framing tariffs as defensive tools,13,25,1,7,4.5,trump_tariff_speech
126,the american market has been cheated by aggressive exporters and tariffs will restore fairness,emotive trade discourse favoring unilateral tariff actions,14,25,0,4,3.0,trump_tariff_speech
127,our trade system is harmed by export heavy countries and tariffs must be imposed,emotive trade discourse favoring unilateral tariff actions,14,25,0,4,3.0,trump_tariff_speech
128,our industries has been treated unfairly by non reciprocal partners and tariffs will rebalance trade,nationalistic economic framing that blames foreign actors and promotes tariffs,15,25,0,3,2.5,trump_tariff_speech
129,our manufacturing base gets the short end from state backed competitors and tariffs will bring leverage,nationalistic economic framing that blames foreign actors and promotes tariffs,16,25,1,5,3.5,trump_tariff_speech
130,us companies is taken advantage of by other countries and tariffs will protect jobs,campaign style messaging supporting protectionist economics,14,25,2,9,5.5,trump_tariff_speech
131,our industries suffers losses from export heavy countries and new tariffs will respond,rhetorical justification for protectionist tariff policy,13,25,2,8,5.0,trump_tariff_speech
132,america has been cheated by other countries and tariffs will correct the imbalance,populist trade rhetoric portraying the nation as a victim of unfair practices,13,25,1,7,4.5,trump_tariff_speech
133,american factories suffers losses from state backed competitors and tariffs will rebalance trade,political messaging emphasizing america first trade ideology,13,25,1,6,4.0,trump_tariff_speech
134,our economy is taken advantage of by non reciprocal partners and tariffs are the answer,assertive trade narrative framing tariffs as defensive tools,15,25,1,5,3.5,trump_tariff_speech
135,our economy is weakened by global competitors and strong tariffs are required,simplified economic argument suggesting tariffs will fix trade deficits,12,25,2,8,5.0,trump_tariff_speech
136,america is taken advantage of by unfair trade partners and tariffs are the answer,simplified economic argument suggesting tariffs will fix trade deficits,14,25,2,9,5.5,trump_tariff_speech
137,our domestic producers has been cheated by non reciprocal partners and tariffs will restore fairness,nationalistic economic framing that blames foreign actors and promotes tariffs,15,25,1,7,4.5,trump_tariff_speech
138,american workers is harmed by foreign nations and strong tariffs are required,rhetorical justification for protectionist tariff policy,12,25,0,3,2.5,trump_tariff_speech
139,american businesses has been cheated by overseas economies and tariffs will restore fairness,political messaging emphasizing america first trade ideology,13,25,1,5,3.5,trump_tariff_speech
140,our domestic producers has been cheated by overseas economies and new tariffs will respond,campaign style messaging supporting protectionist economics,14,25,0,3,2.5,trump_tariff_speech
141,our economy faces imbalance with state backed competitors and tariffs are the answer,economic populism linking job losses to foreign trade behavior,13,25,2,8,5.0,trump_tariff_speech
142,our trade system gets the short end from aggressive exporters and tariffs will protect jobs,populist trade rhetoric portraying the nation as a victim of unfair practices,15,25,0,3,2.5,trump_tariff_speech
143,our country suffers losses from unfair trade partners and new tariffs will respond,political messaging emphasizing america first trade ideology,13,25,1,6,4.0,trump_tariff_speech
144,american factories is weakened by non reciprocal partners and tariffs must be imposed,nationalistic economic framing that blames foreign actors and promotes tariffs,13,25,1,6,4.0,trump_tariff_speech
145,our country is exploited by export heavy countries and tariffs will correct the imbalance,assertive trade narrative framing tariffs as defensive tools,14,25,2,8,5.0,trump_tariff_speech
146,our economy is weakened by export heavy countries and tariffs are the answer,political messaging emphasizing america first trade ideology,13,25,2,9,5.5,trump_tariff_speech
147,america suffers losses from export heavy countries and tariffs must be imposed,assertive trade narrative framing tariffs as defensive tools,12,25,1,6,4.0,trump_tariff_speech
148,the american market is weakened by unfair trade partners and tariffs will restore fairness,simplified economic argument suggesting tariffs will fix trade deficits,14,25,2,8,5.0,trump_tariff_speech
149,our manufacturing base is harmed by non reciprocal partners and tariffs will correct the imbalance,assertive trade narrative framing tariffs as defensive tools,15,25,0,4,3.0,trump_tariff_speech
150,our industries suffers losses from foreign nations and strong tariffs are required,emotive trade discourse favoring unilateral tariff actions,12,25,1,6,4.0,trump_tariff_speech
151,the american market is taken advantage of by unfair trade partners and tariffs will rebalance trade,economic populism linking job losses to foreign trade behavior,16,25,1,7,4.5,trump_tariff_speech
152,american businesses has been cheated by state backed competitors and tariffs are needed,campaign style messaging supporting protectionist economics,13,25,2,8,5.0,trump_tariff_speech
153,american factories has been cheated by overseas economies and tariffs are needed,political messaging emphasizing america first trade ideology,12,25,2,8,5.0,trump_tariff_speech
154,our trade system suffers losses from export heavy countries and tariffs will correct the imbalance,political messaging emphasizing america first trade ideology,15,25,2,9,5.5,trump_tariff_speech
155,our economy is harmed by certain trading nations and tariffs will restore fairness,economic populism linking job losses to foreign trade behavior,13,25,2,8,5.0,trump_tariff_speech
156,american workers gets the short end from global competitors and tariffs will bring leverage,policy simplification that elevates tariffs as primary solution,14,25,2,9,5.5,trump_tariff_speech
157,american workers loses billions to aggressive exporters and tariffs will bring leverage,emotive trade discourse favoring unilateral tariff actions,12,25,2,8,5.0,trump_tariff_speech
158,our manufacturing base loses billions to other countries and strong tariffs are required,nationalistic economic framing that blames foreign actors and promotes tariffs,13,25,2,9,5.5,trump_tariff_speech
159,american factories suffers losses from global competitors and strong tariffs are required,rhetorical justification for protectionist tariff policy,12,25,0,4,3.0,trump_tariff_speech
160,our trade system gets the short end from global competitors and tariffs are the answer,emotive trade discourse favoring unilateral tariff actions,15,25,1,7,4.5,trump_tariff_speech
161,american factories is weakened by overseas economies and tariffs will protect jobs,rhetorical justification for protectionist tariff policy,12,25,0,3,2.5,trump_tariff_speech
162,our economy faces imbalance with unfair trade partners and tariffs will restore fairness,assertive trade narrative framing tariffs as defensive tools,13,25,1,5,3.5,trump_tariff_speech
163,us companies faces imbalance with unfair trade partners and tariffs must be imposed,policy simplification that elevates tariffs as primary solution,13,25,2,9,5.5,trump_tariff_speech
164,our domestic producers is weakened by other countries and tariffs will restore fairness,economic populism linking job losses to foreign trade behavior,13,25,0,3,2.5,trump_tariff_speech
165,our domestic producers is harmed by non reciprocal partners and tariffs will restore fairness,political messaging emphasizing america first trade ideology,14,25,2,9,5.5,trump_tariff_speech
166,us companies has been cheated by foreign nations and tariffs will rebalance trade,nationalistic economic framing that blames foreign actors and promotes tariffs,13,25,2,8,5.0,trump_tariff_speech
167,our manufacturing base loses billions to export heavy countries and tariffs will protect jobs,policy simplification that elevates tariffs as primary solution,14,25,2,8,5.0,trump_tariff_speech
168,our industries suffers losses from aggressive exporters and tariffs will correct the imbalance,rhetorical justification for protectionist tariff policy,13,25,0,3,2.5,trump_tariff_speech
169,our economy suffers losses from export heavy countries and tariffs are the answer,political messaging emphasizing america first trade ideology,13,25,0,3,2.5,trump_tariff_speech
170,american workers suffers losses from other countries and tariffs will rebalance trade,economic populism linking job losses to foreign trade behavior,12,25,1,6,4.0,trump_tariff_speech
171,america has been treated unfairly by aggressive exporters and tariffs are the answer,populist trade rhetoric portraying the nation as a victim of unfair practices,13,25,0,3,2.5,trump_tariff_speech
172,american businesses has been treated unfairly by aggressive exporters and tariffs are the answer,emotive trade discourse favoring unilateral tariff actions,14,25,0,3,2.5,trump_tariff_speech
173,our industries is exploited by state backed competitors and tariffs will rebalance trade,rhetorical justification for protectionist tariff policy,13,25,1,7,4.5,trump_tariff_speech
174,american businesses is taken advantage of by aggressive exporters and strong tariffs are required,populist trade rhetoric portraying the nation as a victim of unfair practices,14,25,2,9,5.5,trump_tariff_speech
175,the united states has been treated unfairly by global competitors and tariffs are needed,nationalistic economic framing that blames foreign actors and promotes tariffs,14,25,1,6,4.0,trump_tariff_speech
176,america is harmed by overseas economies and tariffs will correct the imbalance,nationalistic economic framing that blames foreign actors and promotes tariffs,12,25,2,9,5.5,trump_tariff_speech
177,american workers loses billions to export heavy countries and new tariffs will respond,economic populism linking job losses to foreign trade behavior,13,25,2,8,5.0,trump_tariff_speech
178,our trade system has been cheated by certain trading nations and tariffs will restore fairness,assertive trade narrative framing tariffs as defensive tools,15,25,1,7,4.5,trump_tariff_speech
179,our economy is harmed by global competitors and tariffs must be imposed,political messaging emphasizing america first trade ideology,12,25,0,4,3.0,trump_tariff_speech
180,our industries has been cheated by global competitors and new tariffs will respond,economic populism linking job losses to foreign trade behavior,13,25,1,5,3.5,trump_tariff_speech
181,our domestic producers is taken advantage of by state backed competitors and tariffs are needed,simplified economic argument suggesting tariffs will fix trade deficits,15,25,2,8,5.0,trump_tariff_speech
182,our trade system faces imbalance with non reciprocal partners and strong tariffs are required,simplified economic argument suggesting tariffs will fix trade deficits,14,25,2,8,5.0,trump_tariff_speech
183,our trade system has been cheated by state backed competitors and tariffs are the answer,simplified economic argument suggesting tariffs will fix trade deficits,15,25,0,3,2.5,trump_tariff_speech
184,our domestic producers is exploited by global competitors and tariffs will protect jobs,political messaging emphasizing america first trade ideology,13,25,0,4,3.0,trump_tariff_speech
185,our industries is harmed by non reciprocal partners and tariffs will bring leverage,emotive trade discourse favoring unilateral tariff actions,13,25,2,9,5.5,trump_tariff_speech
186,the american market suffers losses from aggressive exporters and new tariffs will respond,nationalistic economic framing that blames foreign actors and promotes tariffs,13,25,1,7,4.5,trump_tariff_speech
187,our domestic producers is harmed by state backed competitors and strong tariffs are required,political messaging emphasizing america first trade ideology,14,25,1,6,4.0,trump_tariff_speech
188,american factories suffers losses from aggressive exporters and new tariffs will respond,populist trade rhetoric portraying the nation as a victim of unfair practices,12,25,2,9,5.5,trump_tariff_speech
189,the american market has been treated unfairly by state backed competitors and tariffs will protect jobs,populist trade rhetoric portraying the nation as a victim of unfair practices,16,25,0,3,2.5,trump_tariff_speech
190,america is exploited by non reciprocal partners and tariffs are the answer,simplified economic argument suggesting tariffs will fix trade deficits,12,25,0,4,3.0,trump_tariff_speech
191,america has been treated unfairly by state backed competitors and tariffs will protect jobs,economic populism linking job losses to foreign trade behavior,14,25,0,3,2.5,trump_tariff_speech
192,us companies is taken advantage of by other countries and tariffs will correct the imbalance,rhetorical justification for protectionist tariff policy,15,25,0,3,2.5,trump_tariff_speech
193,american businesses is weakened by foreign nations and tariffs will bring leverage,populist trade rhetoric portraying the nation as a victim of unfair practices,12,25,0,4,3.0,trump_tariff_speech
194,our domestic producers is exploited by foreign nations and new tariffs will respond,assertive trade narrative framing tariffs as defensive tools,13,25,1,6,4.0,trump_tariff_speech
