id,cleaned_text,token_length,padding_length,label,harm_index,sample_weight,category
132,handwashing prevents infection,3,20,0,0,1.0,public_health_fact
133,vaccines reduce severe illness,4,20,0,1,1.5,medical_fact
134,covid spreads through mosquito bites,5,20,2,7,4.5,transmission_myth
135,steam inhalation cures covid,4,20,2,8,5.0,alternative_medicine
136,handwashing prevents infection,3,20,0,0,1.0,public_health_fact
137,covid spreads through mosquito bites,5,20,2,7,4.5,transmission_myth
138,herbal kadha prevents all variants,5,20,2,8,5.0,alternative_medicine
139,covid spreads through mosquito bites,5,20,2,7,4.5,transmission_myth
140,steam inhalation cures covid,4,20,2,8,5.0,alternative_medicine
141,covid was created to reduce population,6,20,2,10,6.0,conspiracy
142,covid vaccine causes infertility,4,20,2,9,5.5,medical_misinformation
143,covid vaccine causes infertility,4,20,2,9,5.5,medical_misinformation
144,only elderly get covid,4,20,1,6,4.0,demographic_myth
145,natural immunity better than vaccines,5,20,1,6,4.0,vaccine_misleading
146,covid vaccine causes infertility,4,20,2,9,5.5,medical_misinformation
147,herbal kadha prevents all variants,5,20,2,8,5.0,alternative_medicine
148,masks reduce oxygen dangerously,4,20,1,7,4.5,public_health_myth
149,vaccines reduce severe illness,4,20,0,1,1.5,medical_fact
150,natural immunity better than vaccines,5,20,1,6,4.0,vaccine_misleading
151,5g towers spread covid,4,20,2,9,5.5,technology_myth
152,only elderly get covid,4,20,1,6,4.0,demographic_myth
153,handwashing prevents infection,3,20,0,0,1.0,public_health_fact
154,covid spreads through mosquito bites,5,20,2,7,4.5,transmission_myth
155,herbal kadha prevents all variants,5,20,2,8,5.0,alternative_medicine
156,covid vaccines cause sudden death,5,20,2,10,6.0,panic_misinformation
157,drinking hot water kills coronavirus,5,20,2,8,5.0,home_remedy_myth
158,vaccines reduce severe illness,4,20,0,1,1.5,medical_fact
159,vaccines reduce severe illness,4,20,0,1,1.5,medical_fact
160,covid vaccine causes infertility,4,20,2,9,5.5,medical_misinformation
161,covid was created to reduce population,6,20,2,10,6.0,conspiracy
162,drinking hot water kills coronavirus,5,20,2,8,5.0,home_remedy_myth
163,only elderly get covid,4,20,1,6,4.0,demographic_myth
164,vaccines contain tracking microchips,4,20,2,10,6.0,surveillance_conspiracy
165,covid vaccines cause sudden death,5,20,2,10,6.0,panic_misinformation
166,vaccines contain tracking microchips,4,20,2,10,6.0,surveillance_conspiracy
167,vaccines reduce severe illness,4,20,0,1,1.5,medical_fact
168,covid vaccine causes infertility,4,20,2,9,5.5,medical_misinformation
169,masks reduce oxygen dangerously,4,20,1,7,4.5,public_health_myth
170,covid was created to reduce population,6,20,2,10,6.0,conspiracy
171,only elderly get covid,4,20,1,6,4.0,demographic_myth
172,drinking hot water kills coronavirus,5,20,2,8,5.0,home_remedy_myth
173,5g towers spread covid,4,20,2,9,5.5,technology_myth
174,herbal kadha prevents all variants,5,20,2,8,5.0,alternative_medicine
175,only elderly get covid,4,20,1,6,4.0,demographic_myth
176,herbal kadha prevents all variants,5,20,2,8,5.0,alternative_medicine
177,handwashing prevents infection,3,20,0,0,1.0,public_health_fact
178,covid is media hoax,4,20,2,10,6.0,denial_conspiracy
179,vaccines contain tracking microchips,4,20,2,10,6.0,surveillance_conspiracy
180,handwashing prevents infection,3,20,0,0,1.0,public_health_fact
181,drinking hot water kills coronavirus,5,20,2,8,5.0,home_remedy_myth
182,covid vaccines cause sudden death,5,20,2,10,6.0,panic_misinformation
183,covid vaccines cause sudden death,5,20,2,10,6.0,panic_misinformation
184,masks reduce oxygen dangerously,4,20,1,7,4.5,public_health_myth
185,covid spreads through mosquito bites,5,20,2,7,4.5,transmission_myth
186,covid vaccines cause sudden death,5,20,2,10,6.0,panic_misinformation
187,drinking hot water kills coronavirus,5,20,2,8,5.0,home_remedy_myth
188,natural immunity better than vaccines,5,20,1,6,4.0,vaccine_misleading
189,masks reduce oxygen dangerously,4,20,1,7,4.5,public_health_myth
190,natural immunity better than vaccines,5,20,1,6,4.0,vaccine_misleading
191,covid was created to reduce population,6,20,2,10,6.0,conspiracy
192,covid spreads through mosquito bites,5,20,2,7,4.5,transmission_myth
193,steam inhalation cures covid,4,20,2,8,5.0,alternative_medicine
194,5g towers spread covid,4,20,2,9,5.5,technology_myth
195,steam inhalation cures covid,4,20,2,8,5.0,alternative_medicine
196,handwashing prevents infection,3,20,0,0,1.0,public_health_fact
197,handwashing prevents infection,3,20,0,0,1.0,public_health_fact
198,masks reduce oxygen dangerously,4,20,1,7,4.5,public_health_myth
199,vaccines contain tracking microchips,4,20,2,10,6.0,surveillance_conspiracy
200,herbal kadha prevents all variants,5,20,2,8,5.0,alternative_medicine
201,herbal kadha prevents all variants,5,20,2,8,5.0,alternative_medicine
202,covid spreads through mosquito bites,5,20,2,7,4.5,transmission_myth
203,covid spreads through mosquito bites,5,20,2,7,4.5,transmission_myth
204,covid spreads through mosquito bites,5,20,2,7,4.5,transmission_myth
205,herbal kadha prevents all variants,5,20,2,8,5.0,alternative_medicine
206,covid was created to reduce population,6,20,2,10,6.0,conspiracy
207,drinking hot water kills coronavirus,5,20,2,8,5.0,home_remedy_myth
208,only elderly get covid,4,20,1,6,4.0,demographic_myth
209,covid vaccine causes infertility,4,20,2,9,5.5,medical_misinformation
210,covid vaccines cause sudden death,5,20,2,10,6.0,panic_misinformation
211,handwashing prevents infection,3,20,0,0,1.0,public_health_fact
212,only elderly get covid,4,20,1,6,4.0,demographic_myth
213,herbal kadha prevents all variants,5,20,2,8,5.0,alternative_medicine
214,natural immunity better than vaccines,5,20,1,6,4.0,vaccine_misleading
215,5g towers spread covid,4,20,2,9,5.5,technology_myth
216,covid is media hoax,4,20,2,10,6.0,denial_conspiracy
217,herbal kadha prevents all variants,5,20,2,8,5.0,alternative_medicine
218,natural immunity better than vaccines,5,20,1,6,4.0,vaccine_misleading
219,covid was created to reduce population,6,20,2,10,6.0,conspiracy
220,5g towers spread covid,4,20,2,9,5.5,technology_myth
221,natural immunity better than vaccines,5,20,1,6,4.0,vaccine_misleading
222,vaccines contain tracking microchips,4,20,2,10,6.0,surveillance_conspiracy
223,covid is media hoax,4,20,2,10,6.0,denial_conspiracy
224,steam inhalation cures covid,4,20,2,8,5.0,alternative_medicine
225,handwashing prevents infection,3,20,0,0,1.0,public_health_fact
226,drinking hot water kills coronavirus,5,20,2,8,5.0,home_remedy_myth
227,drinking hot water kills coronavirus,5,20,2,8,5.0,home_remedy_myth
228,handwashing prevents infection,3,20,0,0,1.0,public_health_fact
229,covid is media hoax,4,20,2,10,6.0,denial_conspiracy
230,vaccines contain tracking microchips,4,20,2,10,6.0,surveillance_conspiracy
231,covid is media hoax,4,20,2,10,6.0,denial_conspiracy
232,5g towers spread covid,4,20,2,9,5.5,technology_myth
233,covid spreads through mosquito bites,5,20,2,7,4.5,transmission_myth
234,natural immunity better than vaccines,5,20,1,6,4.0,vaccine_misleading
235,vaccines contain tracking microchips,4,20,2,10,6.0,surveillance_conspiracy
236,covid vaccine causes infertility,4,20,2,9,5.5,medical_misinformation
237,only elderly get covid,4,20,1,6,4.0,demographic_myth
238,only elderly get covid,4,20,1,6,4.0,demographic_myth
239,steam inhalation cures covid,4,20,2,8,5.0,alternative_medicine
240,vaccines contain tracking microchips,4,20,2,10,6.0,surveillance_conspiracy
241,covid is media hoax,4,20,2,10,6.0,denial_conspiracy
242,only elderly get covid,4,20,1,6,4.0,demographic_myth
243,only elderly get covid,4,20,1,6,4.0,demographic_myth
244,covid is media hoax,4,20,2,10,6.0,denial_conspiracy
245,herbal kadha prevents all variants,5,20,2,8,5.0,alternative_medicine
246,5g towers spread covid,4,20,2,9,5.5,technology_myth
247,vaccines reduce severe illness,4,20,0,1,1.5,medical_fact
248,covid vaccines cause sudden death,5,20,2,10,6.0,panic_misinformation
249,drinking hot water kills coronavirus,5,20,2,8,5.0,home_remedy_myth
250,handwashing prevents infection,3,20,0,0,1.0,public_health_fact
251,covid spreads through mosquito bites,5,20,2,7,4.5,transmission_myth
252,5g towers spread covid,4,20,2,9,5.5,technology_myth
253,covid vaccine causes infertility,4,20,2,9,5.5,medical_misinformation
254,5g towers spread covid,4,20,2,9,5.5,technology_myth
255,steam inhalation cures covid,4,20,2,8,5.0,alternative_medicine
256,covid is media hoax,4,20,2,10,6.0,denial_conspiracy
257,handwashing prevents infection,3,20,0,0,1.0,public_health_fact
258,natural immunity better than vaccines,5,20,1,6,4.0,vaccine_misleading
259,herbal kadha prevents all variants,5,20,2,8,5.0,alternative_medicine
260,masks reduce oxygen dangerously,4,20,1,7,4.5,public_health_myth
261,herbal kadha prevents all variants,5,20,2,8,5.0,alternative_medicine
262,drinking hot water kills coronavirus,5,20,2,8,5.0,home_remedy_myth
263,herbal kadha prevents all variants,5,20,2,8,5.0,alternative_medicine
264,covid spreads through mosquito bites,5,20,2,7,4.5,transmission_myth
265,5g towers spread covid,4,20,2,9,5.5,technology_myth
266,covid vaccine causes infertility,4,20,2,9,5.5,medical_misinformation
267,5g towers spread covid,4,20,2,9,5.5,technology_myth
268,covid was created to reduce population,6,20,2,10,6.0,conspiracy
269,steam inhalation cures covid,4,20,2,8,5.0,alternative_medicine
270,covid spreads through mosquito bites,5,20,2,7,4.5,transmission_myth
271,covid is media hoax,4,20,2,10,6.0,denial_conspiracy
272,natural immunity better than vaccines,5,20,1,6,4.0,vaccine_misleading
273,covid spreads through mosquito bites,5,20,2,7,4.5,transmission_myth
274,5g towers spread covid,4,20,2,9,5.5,technology_myth
275,steam inhalation cures covid,4,20,2,8,5.0,alternative_medicine
276,covid was created to reduce population,6,20,2,10,6.0,conspiracy
277,masks reduce oxygen dangerously,4,20,1,7,4.5,public_health_myth
278,covid is media hoax,4,20,2,10,6.0,denial_conspiracy
279,covid spreads through mosquito bites,5,20,2,7,4.5,transmission_myth
280,covid vaccine causes infertility,4,20,2,9,5.5,medical_misinformation
281,steam inhalation cures covid,4,20,2,8,5.0,alternative_medicine
282,drinking hot water kills coronavirus,5,20,2,8,5.0,home_remedy_myth
283,masks reduce oxygen dangerously,4,20,1,7,4.5,public_health_myth
284,vaccines reduce severe illness,4,20,0,1,1.5,medical_fact
285,drinking hot water kills coronavirus,5,20,2,8,5.0,home_remedy_myth
286,covid vaccines cause sudden death,5,20,2,10,6.0,panic_misinformation
287,5g towers spread covid,4,20,2,9,5.5,technology_myth
288,covid vaccine causes infertility,4,20,2,9,5.5,medical_misinformation
289,natural immunity better than vaccines,5,20,1,6,4.0,vaccine_misleading
290,handwashing prevents infection,3,20,0,0,1.0,public_health_fact
291,only elderly get covid,4,20,1,6,4.0,demographic_myth
292,only elderly get covid,4,20,1,6,4.0,demographic_myth
293,natural immunity better than vaccines,5,20,1,6,4.0,vaccine_misleading
294,covid spreads through mosquito bites,5,20,2,7,4.5,transmission_myth
295,vaccines reduce severe illness,4,20,0,1,1.5,medical_fact
296,5g towers spread covid,4,20,2,9,5.5,technology_myth
297,vaccines reduce severe illness,4,20,0,1,1.5,medical_fact
298,vaccines reduce severe illness,4,20,0,1,1.5,medical_fact
299,drinking hot water kills coronavirus,5,20,2,8,5.0,home_remedy_myth
300,vaccines contain tracking microchips,4,20,2,10,6.0,surveillance_conspiracy
301,5g towers spread covid,4,20,2,9,5.5,technology_myth
302,covid vaccines cause sudden death,5,20,2,10,6.0,panic_misinformation
303,covid vaccine causes infertility,4,20,2,9,5.5,medical_misinformation
304,covid spreads through mosquito bites,5,20,2,7,4.5,transmission_myth
305,covid vaccines cause sudden death,5,20,2,10,6.0,panic_misinformation
306,vaccines contain tracking microchips,4,20,2,10,6.0,surveillance_conspiracy
307,covid vaccine causes infertility,4,20,2,9,5.5,medical_misinformation
308,covid was created to reduce population,6,20,2,10,6.0,conspiracy
309,5g towers spread covid,4,20,2,9,5.5,technology_myth
310,handwashing prevents infection,3,20,0,0,1.0,public_health_fact
311,only elderly get covid,4,20,1,6,4.0,demographic_myth
312,covid is media hoax,4,20,2,10,6.0,denial_conspiracy
313,masks reduce oxygen dangerously,4,20,1,7,4.5,public_health_myth
314,covid was created to reduce population,6,20,2,10,6.0,conspiracy
315,5g towers spread covid,4,20,2,9,5.5,technology_myth
316,drinking hot water kills coronavirus,5,20,2,8,5.0,home_remedy_myth
317,covid is media hoax,4,20,2,10,6.0,denial_conspiracy
318,covid vaccines cause sudden death,5,20,2,10,6.0,panic_misinformation
319,vaccines reduce severe illness,4,20,0,1,1.5,medical_fact
320,covid spreads through mosquito bites,5,20,2,7,4.5,transmission_myth
321,covid spreads through mosquito bites,5,20,2,7,4.5,transmission_myth
322,herbal kadha prevents all variants,5,20,2,8,5.0,alternative_medicine
323,covid vaccine causes infertility,4,20,2,9,5.5,medical_misinformation
324,covid was created to reduce population,6,20,2,10,6.0,conspiracy
325,covid vaccine causes infertility,4,20,2,9,5.5,medical_misinformation
326,steam inhalation cures covid,4,20,2,8,5.0,alternative_medicine
327,handwashing prevents infection,3,20,0,0,1.0,public_health_fact
328,covid spreads through mosquito bites,5,20,2,7,4.5,transmission_myth
329,covid was created to reduce population,6,20,2,10,6.0,conspiracy
330,natural immunity better than vaccines,5,20,1,6,4.0,vaccine_misleading
331,natural immunity better than vaccines,5,20,1,6,4.0,vaccine_misleading
332,covid spreads through mosquito bites,5,20,2,7,4.5,transmission_myth
333,covid vaccines cause sudden death,5,20,2,10,6.0,panic_misinformation
334,vaccines reduce severe illness,4,20,0,1,1.5,medical_fact
335,drinking hot water kills coronavirus,5,20,2,8,5.0,home_remedy_myth
336,only elderly get covid,4,20,1,6,4.0,demographic_myth
337,covid is media hoax,4,20,2,10,6.0,denial_conspiracy
338,herbal kadha prevents all variants,5,20,2,8,5.0,alternative_medicine
339,vaccines reduce severe illness,4,20,0,1,1.5,medical_fact
340,vaccines contain tracking microchips,4,20,2,10,6.0,surveillance_conspiracy
341,herbal kadha prevents all variants,5,20,2,8,5.0,alternative_medicine
342,handwashing prevents infection,3,20,0,0,1.0,public_health_fact
343,masks reduce oxygen dangerously,4,20,1,7,4.5,public_health_myth
344,covid is media hoax,4,20,2,10,6.0,denial_conspiracy
345,covid is media hoax,4,20,2,10,6.0,denial_conspiracy
346,5g towers spread covid,4,20,2,9,5.5,technology_myth
347,natural immunity better than vaccines,5,20,1,6,4.0,vaccine_misleading
348,covid vaccine causes infertility,4,20,2,9,5.5,medical_misinformation
349,covid is media hoax,4,20,2,10,6.0,denial_conspiracy
350,covid is media hoax,4,20,2,10,6.0,denial_conspiracy
351,herbal kadha prevents all variants,5,20,2,8,5.0,alternative_medicine
352,5g towers spread covid,4,20,2,9,5.5,technology_myth
353,handwashing prevents infection,3,20,0,0,1.0,public_health_fact
354,masks reduce oxygen dangerously,4,20,1,7,4.5,public_health_myth
355,vaccines reduce severe illness,4,20,0,1,1.5,medical_fact
356,masks reduce oxygen dangerously,4,20,1,7,4.5,public_health_myth
357,drinking hot water kills coronavirus,5,20,2,8,5.0,home_remedy_myth
358,vaccines reduce severe illness,4,20,0,1,1.5,medical_fact
359,covid spreads through mosquito bites,5,20,2,7,4.5,transmission_myth
360,herbal kadha prevents all variants,5,20,2,8,5.0,alternative_medicine
361,only elderly get covid,4,20,1,6,4.0,demographic_myth
362,only elderly get covid,4,20,1,6,4.0,demographic_myth
363,vaccines contain tracking microchips,4,20,2,10,6.0,surveillance_conspiracy
364,drinking hot water kills coronavirus,5,20,2,8,5.0,home_remedy_myth
365,only elderly get covid,4,20,1,6,4.0,demographic_myth
366,vaccines contain tracking microchips,4,20,2,10,6.0,surveillance_conspiracy
367,masks reduce oxygen dangerously,4,20,1,7,4.5,public_health_myth
368,vaccines contain tracking microchips,4,20,2,10,6.0,surveillance_conspiracy
369,drinking hot water kills coronavirus,5,20,2,8,5.0,home_remedy_myth
370,5g towers spread covid,4,20,2,9,5.5,technology_myth
371,covid vaccines cause sudden death,5,20,2,10,6.0,panic_misinformation
372,5g towers spread covid,4,20,2,9,5.5,technology_myth
373,handwashing prevents infection,3,20,0,0,1.0,public_health_fact
374,herbal kadha prevents all variants,5,20,2,8,5.0,alternative_medicine
375,only elderly get covid,4,20,1,6,4.0,demographic_myth
376,masks reduce oxygen dangerously,4,20,1,7,4.5,public_health_myth
377,masks reduce oxygen dangerously,4,20,1,7,4.5,public_health_myth
378,only elderly get covid,4,20,1,6,4.0,demographic_myth
379,covid spreads through mosquito bites,5,20,2,7,4.5,transmission_myth
380,masks reduce oxygen dangerously,4,20,1,7,4.5,public_health_myth
381,covid spreads through mosquito bites,5,20,2,7,4.5,transmission_myth
382,vaccines contain tracking microchips,4,20,2,10,6.0,surveillance_conspiracy
383,vaccines reduce severe illness,4,20,0,1,1.5,medical_fact
384,steam inhalation cures covid,4,20,2,8,5.0,alternative_medicine
385,vaccines reduce severe illness,4,20,0,1,1.5,medical_fact
386,vaccines contain tracking microchips,4,20,2,10,6.0,surveillance_conspiracy
387,masks reduce oxygen dangerously,4,20,1,7,4.5,public_health_myth
388,5g towers spread covid,4,20,2,9,5.5,technology_myth
389,covid vaccines cause sudden death,5,20,2,10,6.0,panic_misinformation
390,covid is media hoax,4,20,2,10,6.0,denial_conspiracy
391,covid was created to reduce population,6,20,2,10,6.0,conspiracy
392,natural immunity better than vaccines,5,20,1,6,4.0,vaccine_misleading
393,vaccines contain tracking microchips,4,20,2,10,6.0,surveillance_conspiracy
394,covid vaccines cause sudden death,5,20,2,10,6.0,panic_misinformation
395,natural immunity better than vaccines,5,20,1,6,4.0,vaccine_misleading
396,covid vaccines cause sudden death,5,20,2,10,6.0,panic_misinformation
397,natural immunity better than vaccines,5,20,1,6,4.0,vaccine_misleading
398,covid is media hoax,4,20,2,10,6.0,denial_conspiracy
399,drinking hot water kills coronavirus,5,20,2,8,5.0,home_remedy_myth
400,natural immunity better than vaccines,5,20,1,6,4.0,vaccine_misleading
401,natural immunity better than vaccines,5,20,1,6,4.0,vaccine_misleading
402,5g towers spread covid,4,20,2,9,5.5,technology_myth
403,covid vaccines cause sudden death,5,20,2,10,6.0,panic_misinformation
404,covid spreads through mosquito bites,5,20,2,7,4.5,transmission_myth
405,covid is media hoax,4,20,2,10,6.0,denial_conspiracy
406,vaccines contain tracking microchips,4,20,2,10,6.0,surveillance_conspiracy
407,handwashing prevents infection,3,20,0,0,1.0,public_health_fact
408,handwashing prevents infection,3,20,0,0,1.0,public_health_fact
409,covid vaccine causes infertility,4,20,2,9,5.5,medical_misinformation
410,5g towers spread covid,4,20,2,9,5.5,technology_myth
411,herbal kadha prevents all variants,5,20,2,8,5.0,alternative_medicine
412,steam inhalation cures covid,4,20,2,8,5.0,alternative_medicine
413,5g towers spread covid,4,20,2,9,5.5,technology_myth
414,covid is media hoax,4,20,2,10,6.0,denial_conspiracy
415,masks reduce oxygen dangerously,4,20,1,7,4.5,public_health_myth
416,drinking hot water kills coronavirus,5,20,2,8,5.0,home_remedy_myth
417,natural immunity better than vaccines,5,20,1,6,4.0,vaccine_misleading
418,steam inhalation cures covid,4,20,2,8,5.0,alternative_medicine
419,only elderly get covid,4,20,1,6,4.0,demographic_myth
